s,N,a,ratio_neg,ratio_pos,,
0.09531018,100,1,0.977202784,0.99441022,,
0.09531018,200,1,1.030251382,0.997677872,,
0.09531018,300,1,0.996214759,0.977708719,,
0.09531018,500,1,1.022143195,1.002604116,,
0.09531018,700,1,0.984871203,1.008619821,,
0.09531018,1000,1,1.010394131,0.98679172,,
0.09531018,2000,1,0.971104788,1.00731641,,
0.09531018,3000,1,0.989563657,0.999017255,,
0.09531018,5000,1,1.002996836,1.008455742,,
0.09531018,7000,1,0.970268679,1.031355834,,
0.09531018,10000,1,1.002041137,0.989004479,,
0.09531018,50000,1,0.986323095,1.00858923,,
0.09531018,100000,1,0.984972962,0.976298021,,
0.09531018,100,2,0.99174183,1.002126891,,
0.09531018,200,2,1.027509823,1.013632042,,
0.09531018,300,2,1.011846741,0.992252595,,
0.09531018,500,2,1.01998671,1.00559062,,
0.09531018,700,2,0.999714959,1.015748894,,
0.09531018,1000,2,1.012522703,0.993670043,,
0.09531018,2000,2,0.967632144,1.008322774,,
0.09531018,3000,2,0.996039671,1.008292059,,
0.09531018,5000,2,1.001420651,1.005397092,,
0.09531018,7000,2,0.97197183,1.03347293,,
0.09531018,10000,2,1.007213015,0.999526944,,
0.09531018,50000,2,0.982267463,1.008398791,,
0.09531018,100000,2,0.97779924,0.986297726,,
0.09531018,100,3,0.988726746,1.027347557,,
0.09531018,200,3,1.03404166,1.018399869,,
0.09531018,300,3,1.014002281,0.985308854,,
0.09531018,500,3,1.024425385,1.010093745,,
0.09531018,700,3,1.007888433,1.028351166,,
0.09531018,1000,3,1.020533026,1.001881828,,
0.09531018,2000,3,0.973696187,1.00982368,,
0.09531018,3000,3,0.986295219,1.006009448,,
0.09531018,5000,3,1.00183845,1.01378382,,
0.09531018,7000,3,0.973209208,1.030089603,,
0.09531018,10000,3,1.012909639,0.999377254,,
0.09531018,50000,3,0.982692202,1.011648347,,
0.09531018,100000,3,0.978881334,0.998245623,,
0.09531018,100,4,1.010041614,1.033138965,,
0.09531018,200,4,1.037514395,1.035840586,,
0.09531018,300,4,1.017132152,1.000208866,,
0.09531018,500,4,1.024476735,1.025997115,,
0.09531018,700,4,1.011765321,1.038533523,,
0.09531018,1000,4,1.017320491,1.017745511,,
0.09531018,2000,4,0.980330005,1.014434618,,
0.09531018,3000,4,0.983264525,1.002091864,,
0.09531018,5000,4,0.995300216,1.024319261,,
0.09531018,7000,4,0.972654813,1.035207296,,
0.09531018,10000,4,1.00548612,0.998077993,,
0.09531018,50000,4,0.984237141,1.01737511,,
0.09531018,100000,4,0.980234124,1.000739222,,
0.09531018,100,5,1.027057114,1.051923046,,
0.09531018,200,5,1.035482175,1.048647798,,
0.09531018,300,5,1.02728164,1.001156332,,
0.09531018,500,5,1.030816137,1.016518564,,
0.09531018,700,5,1.017870631,1.045762591,,
0.09531018,1000,5,1.024967455,1.034068584,,
0.09531018,2000,5,0.99371153,1.009435939,,
0.09531018,3000,5,0.996012986,1.001410921,,
0.09531018,5000,5,1.001434282,1.016211353,,
0.09531018,7000,5,0.968807694,1.034396264,,
0.09531018,10000,5,1.010523779,1.002897777,,
0.09531018,50000,5,0.984397239,1.017496997,,
0.09531018,100000,5,0.976542201,1.002451919,,
0.09531018,100,6,1.034832871,1.05402757,,
0.09531018,200,6,1.043827052,1.055941537,,
0.09531018,300,6,1.028707537,1.007402048,,
0.09531018,500,6,1.02773476,1.021178482,,
0.09531018,700,6,1.021973885,1.042926635,,
0.09531018,1000,6,1.027218868,1.029807526,,
0.09531018,2000,6,1.00254366,1.003069081,,
0.09531018,3000,6,0.993831777,1.01035868,,
0.09531018,5000,6,1.016585324,1.009598203,,
0.09531018,7000,6,0.964115258,1.021964829,,
0.09531018,10000,6,1.014600016,0.999917739,,
0.09531018,50000,6,0.994071302,1.018695238,,
0.09531018,100000,6,0.975343828,1.018349667,,
0.09531018,100,7,1.044976168,1.069180105,,
0.09531018,200,7,1.056983766,1.062948521,,
0.09531018,300,7,1.036085521,1.002340044,,
0.09531018,500,7,1.028648599,1.026577538,,
0.09531018,700,7,1.008703097,1.041562421,,
0.09531018,1000,7,1.02738558,1.02797673,,
0.09531018,2000,7,1.011260773,1.005059131,,
0.09531018,3000,7,0.999125084,1.017832011,,
0.09531018,5000,7,1.023612028,1.011005558,,
0.09531018,7000,7,0.967571881,1.026083274,,
0.09531018,10000,7,1.007391677,1.008051265,,
0.09531018,50000,7,0.996096822,1.016616416,,
0.09531018,100000,7,0.969172845,1.020366285,,
0.182321557,100,1,0.993589229,0.999032557,,
0.182321557,200,1,0.945773725,1.018122381,,
0.182321557,300,1,0.97568788,1.063105632,,
0.182321557,500,1,0.968293681,0.990057774,,
0.182321557,700,1,0.985118606,0.994941786,,
0.182321557,1000,1,0.987153963,1.00160289,,
0.182321557,2000,1,0.978684393,1.000012866,,
0.182321557,3000,1,0.99006598,0.994447077,,
0.182321557,5000,1,1.002283109,1.012020997,,
0.182321557,7000,1,0.957071248,1.034494034,,
0.182321557,10000,1,1.002382,0.968108972,,
0.182321557,50000,1,1.004036458,1.009135978,,
0.182321557,100000,1,0.976979555,1.002488265,,
0.182321557,100,2,1.022074299,1.019359288,,
0.182321557,200,2,0.957566535,1.02888997,,
0.182321557,300,2,0.99202378,1.063403203,,
0.182321557,500,2,1.006011995,0.988141191,,
0.182321557,700,2,1.00830061,1.001978511,,
0.182321557,1000,2,0.996667183,1.003385087,,
0.182321557,2000,2,1.000020117,0.993337061,,
0.182321557,3000,2,1.001454866,1.013206574,,
0.182321557,5000,2,1.001876275,1.003931943,,
0.182321557,7000,2,0.970100671,1.019167432,,
0.182321557,10000,2,1.003896761,0.956675889,,
0.182321557,50000,2,1.012060916,0.988800281,,
